entry_date,exit_date,expiry,spot_entry,spot_exit,strike,premium_in,premium_out,pnl_option,pnl_underlying,pnl_net,charges,exit_reason,delta,iv,dte
2024-01-25,2024-02-16,2024-02-29,18472.431587890398,18888.85136000127,18650,312.88,381.91,-1725.75,10410.49,8622.46,62.28,roll_itm,0.4806,0.15,35
2024-02-29,2024-03-05,2024-03-28,19668.117549631916,20211.510903543945,19850,286.76,572.06,-7132.5,13584.83,6387.66,64.67,roll_itm,0.4678,0.15,28
2024-03-28,2024-04-03,2024-04-25,19588.966750744843,20304.41533044316,19800,272.4,672.06,-9991.5,17886.21,7828.81,65.9,roll_itm,0.4534,0.15,28
2024-04-25,2024-05-03,2024-05-30,20610.367672452856,21145.89122503469,20800,353.01,608.72,-6392.75,13388.09,6928.21,67.13,roll_itm,0.4841,0.15,35
2024-05-30,2024-06-03,2024-06-27,22518.55557225198,22980.155399338015,22700,340.5,570.03,-5738.25,11540.0,5735.6,66.15,roll_itm,0.4791,0.15,28
2024-06-27,2024-06-28,2024-07-25,24780.094391959236,25332.1886665096,25000,365.46,673.81,-7708.75,13802.36,6025.06,68.55,roll_itm,0.4714,0.15,28
2024-07-25,2024-08-06,2024-08-29,26329.614802704997,25506.18070101234,26550,461.16,88.45,9317.75,-20585.85,-11329.74,61.64,stop_loss_underlying,0.4912,0.15,35
2024-08-29,2024-09-04,2024-09-26,25588.32840943826,26113.26380345964,25800,384.4,622.96,-5964.0,13123.38,7091.12,68.25999999999999,roll_itm,0.4771,0.15,28
2024-09-26,2024-10-02,2024-10-31,27525.027903081977,26153.59754225096,27750,484.65,0.0,12116.25,-34285.76,-22206.76,37.25,stop_loss_underlying,0.4929,0.15,35
2024-10-31,2024-11-04,2024-11-28,25921.779966801918,26464.030882025323,26100,406.24,683.95,-6942.75,13556.27,6543.65,69.87,roll_itm,0.4904,0.15,28
2024-11-28,2024-12-05,2024-12-26,28578.248386742012,29366.486627500304,28800,436.06,837.51,-10036.25,19705.96,9596.48,73.23,roll_itm,0.482,0.15,28
2024-12-26,2024-12-30,2025-01-30,29453.658598418177,30298.124227864944,29650,539.82,1024.31,-12112.25,21111.64,8920.18,79.21,roll_itm,0.5057,0.15,35
2025-01-30,2025-02-17,2025-02-27,30957.531125025947,30498.350984792152,31150,494.82,95.22,9990.0,-11479.5,-1552.2,62.7,profit_target,0.4967,0.15,28
2025-02-27,2025-03-04,2025-03-27,31040.881674367334,31665.333352428723,31250,488.49,792.0,-7587.75,15611.29,7949.58,73.96000000000001,roll_itm,0.4917,0.15,28
2025-03-27,2025-04-09,2025-04-24,32051.08231381904,32768.213127507996,32250,512.47,767.5,-6375.75,17928.27,11478.29,74.23,roll_itm,0.4968,0.15,28
2025-04-24,2025-04-25,2025-05-29,35112.358375061034,35707.148833762694,35300,666.27,1003.32,-8426.25,14869.76,6361.07,82.44,roll_itm,0.517,0.15,35
2025-05-29,2025-06-03,2025-06-26,37346.80602339517,35914.32308895117,37550,610.91,0.0,15272.75,-35812.07,-20580.13,40.81,stop_loss_underlying,0.5041,0.15,28
2025-06-26,2025-06-30,2025-07-31,38261.62114454862,38922.668854713025,38450,734.03,1069.58,-8388.75,16526.19,8052.01,85.43,roll_itm,0.5206,0.15,35
2025-07-31,2025-08-14,2025-08-28,36690.777929532305,37352.71377566449,36900,595.53,760.06,-4113.25,16548.4,12358.7,76.44999999999999,roll_itm,0.5016,0.15,28
2025-08-28,2025-09-05,2025-09-25,36510.7620822594,37296.80177908917,36700,601.81,960.25,-8961.0,19650.99,10610.08,79.91,roll_itm,0.5065,0.15,28
2025-09-25,2025-09-30,2025-10-30,38856.948325967045,39897.91773660297,39050,744.58,1330.63,-14651.25,26024.24,11282.98,90.00999999999999,roll_itm,0.5202,0.15,35
2025-10-30,2025-11-13,2025-11-27,38872.503532231036,37962.86569900057,39050,652.5,118.47,13350.75,-22740.95,-9457.72,67.52,profit_target,0.5124,0.15,28
2025-11-27,2025-12-04,2025-12-25,40410.795749065735,41053.07970530938,40600,676.01,936.24,-6505.75,16057.1,9469.74,81.61,roll_itm,0.5113,0.15,28
