date,spot,strike,expiry,dte,call_price,call_delta,iv,vix
2021-01-01,14000.0,13400,2021-02-25,55,807.34,0.8288,0.15,15.0
2021-01-01,14000.0,13450,2021-02-25,55,767.49,0.8121,0.15,15.0
2021-01-01,14000.0,13500,2021-02-25,55,728.53,0.7944,0.15,15.0
2021-01-01,14000.0,13550,2021-02-25,55,690.52,0.7759,0.15,15.0
2021-01-01,14000.0,13600,2021-02-25,55,653.48,0.7565,0.15,15.0
2021-01-01,14000.0,13650,2021-02-25,55,617.46,0.7364,0.15,15.0
2021-01-01,14000.0,13700,2021-02-25,55,582.49,0.7154,0.15,15.0
2021-01-01,14000.0,13750,2021-02-25,55,548.61,0.6938,0.15,15.0
2021-01-01,14000.0,13800,2021-02-25,55,515.84,0.6716,0.15,15.0
2021-01-01,14000.0,13850,2021-02-25,55,484.22,0.6489,0.15,15.0
2021-01-01,14000.0,13900,2021-02-25,55,453.75,0.6257,0.15,15.0
2021-01-01,14000.0,13950,2021-02-25,55,424.47,0.6021,0.15,15.0
2021-01-01,14000.0,14000,2021-02-25,55,396.37,0.5782,0.15,15.0
2021-01-01,14000.0,14050,2021-02-25,55,369.48,0.5541,0.15,15.0
2021-01-01,14000.0,14100,2021-02-25,55,343.79,0.5299,0.15,15.0
2021-01-01,14000.0,14150,2021-02-25,55,319.3,0.5057,0.15,15.0
2021-01-01,14000.0,14200,2021-02-25,55,296.01,0.4815,0.15,15.0
2021-01-01,14000.0,14250,2021-02-25,55,273.9,0.4575,0.15,15.0
2021-01-01,14000.0,14300,2021-02-25,55,252.97,0.4338,0.15,15.0
2021-01-01,14000.0,14350,2021-02-25,55,233.2,0.4103,0.15,15.0
2021-01-01,14000.0,14400,2021-02-25,55,214.56,0.3873,0.15,15.0
2021-01-01,14000.0,14450,2021-02-25,55,197.03,0.3647,0.15,15.0
2021-01-01,14000.0,14500,2021-02-25,55,180.58,0.3426,0.15,15.0
2021-01-01,14000.0,14550,2021-02-25,55,165.19,0.3212,0.15,15.0
2021-01-01,14000.0,14600,2021-02-25,55,150.8,0.3004,0.15,15.0
2021-01-01,14000.0,14650,2021-02-25,55,137.4,0.2803,0.15,15.0
2021-01-01,14000.0,14700,2021-02-25,55,124.95,0.2609,0.15,15.0
2021-01-01,14000.0,14750,2021-02-25,55,113.39,0.2423,0.15,15.0
2021-01-01,14000.0,14800,2021-02-25,55,102.7,0.2245,0.15,15.0
2021-01-01,14000.0,14850,2021-02-25,55,92.84,0.2075,0.15,15.0
2021-01-01,14000.0,14900,2021-02-25,55,83.75,0.1914,0.15,15.0
2021-01-01,14000.0,14950,2021-02-25,55,75.4,0.1761,0.15,15.0
2021-01-01,14000.0,15000,2021-02-25,55,67.75,0.1617,0.15,15.0
2021-01-01,14000.0,15050,2021-02-25,55,60.75,0.1481,0.15,15.0
2021-01-01,14000.0,15100,2021-02-25,55,54.36,0.1353,0.15,15.0
2021-01-01,14000.0,15150,2021-02-25,55,48.55,0.1233,0.15,15.0
2021-01-01,14000.0,15200,2021-02-25,55,43.27,0.1122,0.15,15.0
2021-01-01,14000.0,15250,2021-02-25,55,38.49,0.1018,0.15,15.0
2021-01-01,14000.0,15300,2021-02-25,55,34.17,0.0921,0.15,15.0
2021-01-01,14000.0,15350,2021-02-25,55,30.27,0.0832,0.15,15.0
2021-01-01,14000.0,15400,2021-02-25,55,26.76,0.075,0.15,15.0
2021-01-01,14000.0,15450,2021-02-25,55,23.61,0.0674,0.15,15.0
2021-01-01,14000.0,15500,2021-02-25,55,20.8,0.0605,0.15,15.0
2021-01-01,14000.0,15550,2021-02-25,55,18.28,0.0541,0.15,15.0
2021-01-04,14076.756379816203,12600,2021-01-28,24,1530.69,0.9987,0.15,15.0
2021-01-04,14076.756379816203,12650,2021-01-28,24,1480.99,0.9982,0.15,15.0
2021-01-04,14076.756379816203,12700,2021-01-28,24,1431.33,0.9975,0.15,15.0
2021-01-04,14076.756379816203,12750,2021-01-28,24,1381.71,0.9966,0.15,15.0
2021-01-04,14076.756379816203,12800,2021-01-28,24,1332.14,0.9954,0.15,15.0
2021-01-04,14076.756379816203,12850,2021-01-28,24,1282.65,0.9938,0.15,15.0
2021-01-04,14076.756379816203,12900,2021-01-28,24,1233.26,0.9918,0.15,15.0
2021-01-04,14076.756379816203,12950,2021-01-28,24,1184.0,0.9893,0.15,15.0
2021-01-04,14076.756379816203,13000,2021-01-28,24,1134.88,0.9861,0.15,15.0
2021-01-04,14076.756379816203,13050,2021-01-28,24,1085.97,0.9821,0.15,15.0
2021-01-04,14076.756379816203,13100,2021-01-28,24,1037.28,0.9772,0.15,15.0
2021-01-04,14076.756379816203,13150,2021-01-28,24,988.89,0.9713,0.15,15.0
2021-01-04,14076.756379816203,13200,2021-01-28,24,940.85,0.9642,0.15,15.0
2021-01-04,14076.756379816203,13250,2021-01-28,24,893.21,0.9558,0.15,15.0
2021-01-04,14076.756379816203,13300,2021-01-28,24,846.07,0.9459,0.15,15.0
2021-01-04,14076.756379816203,13350,2021-01-28,24,799.49,0.9343,0.15,15.0
2021-01-04,14076.756379816203,13400,2021-01-28,24,753.57,0.9209,0.15,15.0
2021-01-04,14076.756379816203,13450,2021-01-28,24,708.4,0.9057,0.15,15.0
2021-01-04,14076.756379816203,13500,2021-01-28,24,664.09,0.8884,0.15,15.0
2021-01-04,14076.756379816203,13550,2021-01-28,24,620.72,0.869,0.15,15.0
2021-01-04,14076.756379816203,13600,2021-01-28,24,578.42,0.8476,0.15,15.0
2021-01-04,14076.756379816203,13650,2021-01-28,24,537.28,0.824,0.15,15.0
2021-01-04,14076.756379816203,13700,2021-01-28,24,497.41,0.7983,0.15,15.0
2021-01-04,14076.756379816203,13750,2021-01-28,24,458.92,0.7706,0.15,15.0
2021-01-04,14076.756379816203,13800,2021-01-28,24,421.89,0.7411,0.15,15.0
2021-01-04,14076.756379816203,13850,2021-01-28,24,386.41,0.7097,0.15,15.0
2021-01-04,14076.756379816203,13900,2021-01-28,24,352.57,0.6768,0.15,15.0
2021-01-04,14076.756379816203,13950,2021-01-28,24,320.42,0.6426,0.15,15.0
2021-01-04,14076.756379816203,14000,2021-01-28,24,290.03,0.6074,0.15,15.0
2021-01-04,14076.756379816203,14050,2021-01-28,24,261.44,0.5714,0.15,15.0
2021-01-04,14076.756379816203,14100,2021-01-28,24,234.66,0.5348,0.15,15.0
2021-01-04,14076.756379816203,14150,2021-01-28,24,209.7,0.4982,0.15,15.0
2021-01-04,14076.756379816203,14200,2021-01-28,24,186.57,0.4616,0.15,15.0
2021-01-04,14076.756379816203,14250,2021-01-28,24,165.24,0.4256,0.15,15.0
2021-01-04,14076.756379816203,14300,2021-01-28,24,145.68,0.3902,0.15,15.0
2021-01-04,14076.756379816203,14350,2021-01-28,24,127.83,0.3559,0.15,15.0
2021-01-04,14076.756379816203,14400,2021-01-28,24,111.64,0.3228,0.15,15.0
2021-01-04,14076.756379816203,14450,2021-01-28,24,97.03,0.2912,0.15,15.0
2021-01-04,14076.756379816203,14500,2021-01-28,24,83.92,0.2611,0.15,15.0
2021-01-04,14076.756379816203,14550,2021-01-28,24,72.22,0.2329,0.15,15.0
2021-01-04,14076.756379816203,14600,2021-01-28,24,61.85,0.2065,0.15,15.0
2021-01-04,14076.756379816203,14650,2021-01-28,24,52.7,0.1821,0.15,15.0
2021-01-04,14076.756379816203,14700,2021-01-28,24,44.68,0.1596,0.15,15.0
2021-01-04,14076.756379816203,14750,2021-01-28,24,37.68,0.1391,0.15,15.0
2021-01-04,14076.756379816203,14800,2021-01-28,24,31.62,0.1206,0.15,15.0
2021-01-04,14076.756379816203,14850,2021-01-28,24,26.4,0.1038,0.15,15.0
2021-01-04,14076.756379816203,14900,2021-01-28,24,21.93,0.0889,0.15,15.0
2021-01-04,14076.756379816203,14950,2021-01-28,24,18.12,0.0757,0.15,15.0
2021-01-04,14076.756379816203,15000,2021-01-28,24,14.89,0.0641,0.15,15.0
2021-01-04,14076.756379816203,15050,2021-01-28,24,12.18,0.0539,0.15,15.0
2021-01-04,14076.756379816203,15100,2021-01-28,24,9.91,0.0451,0.15,15.0
2021-01-04,14076.756379816203,15150,2021-01-28,24,8.02,0.0375,0.15,15.0
2021-01-04,14076.756379816203,15200,2021-01-28,24,6.45,0.0311,0.15,15.0
2021-01-04,14076.756379816203,15250,2021-01-28,24,5.17,0.0255,0.15,15.0
2021-01-04,14076.756379816203,15300,2021-01-28,24,4.12,0.0209,0.15,15.0
2021-01-04,14076.756379816203,15350,2021-01-28,24,3.26,0.017,0.15,15.0
2021-01-04,14076.756379816203,15400,2021-01-28,24,2.57,0.0137,0.15,15.0
2021-01-04,14076.756379816203,15450,2021-01-28,24,2.02,0.011,0.15,15.0
2021-01-04,14076.756379816203,15500,2021-01-28,24,1.58,0.0088,0.15,15.0
2021-01-04,14076.756379816203,15550,2021-01-28,24,1.22,0.007,0.15,15.0
2021-01-04,14076.756379816203,15600,2021-01-28,24,0.94,0.0055,0.15,15.0
2021-01-04,14076.756379816203,15650,2021-01-28,24,0.73,0.0043,0.15,15.0
2021-01-04,14076.756379816203,12600,2021-02-25,52,1597.48,0.9842,0.15,15.0
2021-01-04,14076.756379816203,12650,2021-02-25,52,1548.92,0.9812,0.15,15.0
2021-01-04,14076.756379816203,12700,2021-02-25,52,1500.54,0.9778,0.15,15.0
2021-01-04,14076.756379816203,12750,2021-02-25,52,1452.37,0.9738,0.15,15.0
2021-01-04,14076.756379816203,12800,2021-02-25,52,1404.42,0.9693,0.15,15.0
2021-01-04,14076.756379816203,12850,2021-02-25,52,1356.75,0.9643,0.15,15.0
2021-01-04,14076.756379816203,12900,2021-02-25,52,1309.36,0.9585,0.15,15.0
2021-01-04,14076.756379816203,12950,2021-02-25,52,1262.31,0.9521,0.15,15.0
2021-01-04,14076.756379816203,13000,2021-02-25,52,1215.63,0.9449,0.15,15.0
2021-01-04,14076.756379816203,13050,2021-02-25,52,1169.36,0.9369,0.15,15.0
2021-01-04,14076.756379816203,13100,2021-02-25,52,1123.54,0.9281,0.15,15.0
2021-01-04,14076.756379816203,13150,2021-02-25,52,1078.22,0.9185,0.15,15.0
2021-01-04,14076.756379816203,13200,2021-02-25,52,1033.44,0.9079,0.15,15.0
2021-01-04,14076.756379816203,13250,2021-02-25,52,989.25,0.8963,0.15,15.0
2021-01-04,14076.756379816203,13300,2021-02-25,52,945.69,0.8838,0.15,15.0
2021-01-04,14076.756379816203,13350,2021-02-25,52,902.83,0.8704,0.15,15.0
2021-01-04,14076.756379816203,13400,2021-02-25,52,860.7,0.8559,0.15,15.0
2021-01-04,14076.756379816203,13450,2021-02-25,52,819.35,0.8405,0.15,15.0
2021-01-04,14076.756379816203,13500,2021-02-25,52,778.84,0.824,0.15,15.0
2021-01-04,14076.756379816203,13550,2021-02-25,52,739.22,0.8066,0.15,15.0
2021-01-04,14076.756379816203,13600,2021-02-25,52,700.52,0.7883,0.15,15.0
2021-01-04,14076.756379816203,13650,2021-02-25,52,662.79,0.769,0.15,15.0
2021-01-04,14076.756379816203,13700,2021-02-25,52,626.08,0.7489,0.15,15.0
2021-01-04,14076.756379816203,13750,2021-02-25,52,590.42,0.728,0.15,15.0
2021-01-04,14076.756379816203,13800,2021-02-25,52,555.86,0.7063,0.15,15.0
2021-01-04,14076.756379816203,13850,2021-02-25,52,522.42,0.6839,0.15,15.0
2021-01-04,14076.756379816203,13900,2021-02-25,52,490.13,0.6609,0.15,15.0
2021-01-04,14076.756379816203,13950,2021-02-25,52,459.01,0.6374,0.15,15.0
2021-01-04,14076.756379816203,14000,2021-02-25,52,429.1,0.6135,0.15,15.0
2021-01-04,14076.756379816203,14050,2021-02-25,52,400.4,0.5892,0.15,15.0
2021-01-04,14076.756379816203,14100,2021-02-25,52,372.92,0.5646,0.15,15.0
2021-01-04,14076.756379816203,14150,2021-02-25,52,346.67,0.5399,0.15,15.0
2021-01-04,14076.756379816203,14200,2021-02-25,52,321.66,0.5151,0.15,15.0
2021-01-04,14076.756379816203,14250,2021-02-25,52,297.87,0.4904,0.15,15.0
2021-01-04,14076.756379816203,14300,2021-02-25,52,275.31,0.4657,0.15,15.0
2021-01-04,14076.756379816203,14350,2021-02-25,52,253.95,0.4413,0.15,15.0
2021-01-04,14076.756379816203,14400,2021-02-25,52,233.78,0.4172,0.15,15.0
2021-01-04,14076.756379816203,14450,2021-02-25,52,214.78,0.3934,0.15,15.0
2021-01-04,14076.756379816203,14500,2021-02-25,52,196.93,0.3702,0.15,15.0
2021-01-04,14076.756379816203,14550,2021-02-25,52,180.19,0.3475,0.15,15.0
2021-01-04,14076.756379816203,14600,2021-02-25,52,164.54,0.3254,0.15,15.0
2021-01-04,14076.756379816203,14650,2021-02-25,52,149.94,0.3039,0.15,15.0
2021-01-04,14076.756379816203,14700,2021-02-25,52,136.35,0.2832,0.15,15.0
2021-01-04,14076.756379816203,14750,2021-02-25,52,123.73,0.2633,0.15,15.0
2021-01-04,14076.756379816203,14800,2021-02-25,52,112.05,0.2441,0.15,15.0
2021-01-04,14076.756379816203,14850,2021-02-25,52,101.25,0.2258,0.15,15.0
2021-01-04,14076.756379816203,14900,2021-02-25,52,91.31,0.2084,0.15,15.0
2021-01-04,14076.756379816203,14950,2021-02-25,52,82.16,0.1918,0.15,15.0
2021-01-04,14076.756379816203,15000,2021-02-25,52,73.78,0.1761,0.15,15.0
2021-01-04,14076.756379816203,15050,2021-02-25,52,66.11,0.1613,0.15,15.0
2021-01-04,14076.756379816203,15100,2021-02-25,52,59.11,0.1474,0.15,15.0
2021-01-04,14076.756379816203,15150,2021-02-25,52,52.74,0.1344,0.15,15.0
2021-01-04,14076.756379816203,15200,2021-02-25,52,46.96,0.1222,0.15,15.0
2021-01-04,14076.756379816203,15250,2021-02-25,52,41.72,0.1108,0.15,15.0
2021-01-04,14076.756379816203,15300,2021-02-25,52,36.99,0.1003,0.15,15.0
2021-01-04,14076.756379816203,15350,2021-02-25,52,32.72,0.0905,0.15,15.0
2021-01-04,14076.756379816203,15400,2021-02-25,52,28.89,0.0815,0.15,15.0
2021-01-04,14076.756379816203,15450,2021-02-25,52,25.45,0.0732,0.15,15.0
2021-01-04,14076.756379816203,15500,2021-02-25,52,22.37,0.0656,0.15,15.0
2021-01-04,14076.756379816203,15550,2021-02-25,52,19.63,0.0587,0.15,15.0
2021-01-04,14076.756379816203,15600,2021-02-25,52,17.18,0.0523,0.15,15.0
2021-01-04,14076.756379816203,15650,2021-02-25,52,15.01,0.0465,0.15,15.0
2021-01-05,14063.84260718351,12550,2021-01-28,23,1565.26,0.9992,0.15,15.0
2021-01-05,14063.84260718351,12600,2021-01-28,23,1515.52,0.9988,0.15,15.0
2021-01-05,14063.84260718351,12650,2021-01-28,23,1465.8,0.9984,0.15,15.0
2021-01-05,14063.84260718351,12700,2021-01-28,23,1416.11,0.9977,0.15,15.0
2021-01-05,14063.84260718351,12750,2021-01-28,23,1366.47,0.9969,0.15,15.0
2021-01-05,14063.84260718351,12800,2021-01-28,23,1316.88,0.9957,0.15,15.0
2021-01-05,14063.84260718351,12850,2021-01-28,23,1267.36,0.9942,0.15,15.0
2021-01-05,14063.84260718351,12900,2021-01-28,23,1217.94,0.9923,0.15,15.0
2021-01-05,14063.84260718351,12950,2021-01-28,23,1168.63,0.9898,0.15,15.0
2021-01-05,14063.84260718351,13000,2021-01-28,23,1119.48,0.9867,0.15,15.0
2021-01-05,14063.84260718351,13050,2021-01-28,23,1070.52,0.9828,0.15,15.0
2021-01-05,14063.84260718351,13100,2021-01-28,23,1021.79,0.9779,0.15,15.0
2021-01-05,14063.84260718351,13150,2021-01-28,23,973.34,0.9721,0.15,15.0
2021-01-05,14063.84260718351,13200,2021-01-28,23,925.25,0.9649,0.15,15.0
2021-01-05,14063.84260718351,13250,2021-01-28,23,877.57,0.9564,0.15,15.0
2021-01-05,14063.84260718351,13300,2021-01-28,23,830.38,0.9464,0.15,15.0
2021-01-05,14063.84260718351,13350,2021-01-28,23,783.77,0.9346,0.15,15.0
2021-01-05,14063.84260718351,13400,2021-01-28,23,737.83,0.921,0.15,15.0
2021-01-05,14063.84260718351,13450,2021-01-28,23,692.65,0.9054,0.15,15.0
2021-01-05,14063.84260718351,13500,2021-01-28,23,648.34,0.8877,0.15,15.0
2021-01-05,14063.84260718351,13550,2021-01-28,23,605.01,0.8678,0.15,15.0
2021-01-05,14063.84260718351,13600,2021-01-28,23,562.77,0.8457,0.15,15.0
2021-01-05,14063.84260718351,13650,2021-01-28,23,521.73,0.8214,0.15,15.0
2021-01-05,14063.84260718351,13700,2021-01-28,23,482.0,0.795,0.15,15.0
2021-01-05,14063.84260718351,13750,2021-01-28,23,443.68,0.7664,0.15,15.0
2021-01-05,14063.84260718351,13800,2021-01-28,23,406.87,0.7358,0.15,15.0
2021-01-05,14063.84260718351,13850,2021-01-28,23,371.66,0.7035,0.15,15.0
2021-01-05,14063.84260718351,13900,2021-01-28,23,338.14,0.6696,0.15,15.0
2021-01-05,14063.84260718351,13950,2021-01-28,23,306.36,0.6344,0.15,15.0
2021-01-05,14063.84260718351,14000,2021-01-28,23,276.39,0.5981,0.15,15.0
2021-01-05,14063.84260718351,14050,2021-01-28,23,248.27,0.5611,0.15,15.0
2021-01-05,14063.84260718351,14100,2021-01-28,23,222.0,0.5237,0.15,15.0
2021-01-05,14063.84260718351,14150,2021-01-28,23,197.61,0.4862,0.15,15.0
2021-01-05,14063.84260718351,14200,2021-01-28,23,175.07,0.449,0.15,15.0
2021-01-05,14063.84260718351,14250,2021-01-28,23,154.36,0.4123,0.15,15.0
2021-01-05,14063.84260718351,14300,2021-01-28,23,135.44,0.3765,0.15,15.0
2021-01-05,14063.84260718351,14350,2021-01-28,23,118.26,0.3419,0.15,15.0
2021-01-05,14063.84260718351,14400,2021-01-28,23,102.74,0.3086,0.15,15.0
2021-01-05,14063.84260718351,14450,2021-01-28,23,88.8,0.277,0.15,15.0
2021-01-05,14063.84260718351,14500,2021-01-28,23,76.36,0.2471,0.15,15.0
2021-01-05,14063.84260718351,14550,2021-01-28,23,65.32,0.2192,0.15,15.0
2021-01-05,14063.84260718351,14600,2021-01-28,23,55.59,0.1932,0.15,15.0
2021-01-05,14063.84260718351,14650,2021-01-28,23,47.05,0.1693,0.15,15.0
2021-01-05,14063.84260718351,14700,2021-01-28,23,39.62,0.1475,0.15,15.0
2021-01-05,14063.84260718351,14750,2021-01-28,23,33.18,0.1277,0.15,15.0
2021-01-05,14063.84260718351,14800,2021-01-28,23,27.64,0.1098,0.15,15.0
2021-01-05,14063.84260718351,14850,2021-01-28,23,22.9,0.0939,0.15,15.0
2021-01-05,14063.84260718351,14900,2021-01-28,23,18.87,0.0798,0.15,15.0
2021-01-05,14063.84260718351,14950,2021-01-28,23,15.46,0.0674,0.15,15.0
2021-01-05,14063.84260718351,15000,2021-01-28,23,12.6,0.0566,0.15,15.0
2021-01-05,14063.84260718351,15050,2021-01-28,23,10.22,0.0472,0.15,15.0
2021-01-05,14063.84260718351,15100,2021-01-28,23,8.24,0.0392,0.15,15.0
2021-01-05,14063.84260718351,15150,2021-01-28,23,6.6,0.0323,0.15,15.0
2021-01-05,14063.84260718351,15200,2021-01-28,23,5.27,0.0265,0.15,15.0
2021-01-05,14063.84260718351,15250,2021-01-28,23,4.18,0.0215,0.15,15.0
2021-01-05,14063.84260718351,15300,2021-01-28,23,3.29,0.0174,0.15,15.0
2021-01-05,14063.84260718351,15350,2021-01-28,23,2.58,0.014,0.15,15.0
2021-01-05,14063.84260718351,15400,2021-01-28,23,2.02,0.0112,0.15,15.0
2021-01-05,14063.84260718351,15450,2021-01-28,23,1.56,0.0089,0.15,15.0
2021-01-05,14063.84260718351,15500,2021-01-28,23,1.21,0.0071,0.15,15.0
2021-01-05,14063.84260718351,15550,2021-01-28,23,0.93,0.0055,0.15,15.0
2021-01-05,14063.84260718351,15600,2021-01-28,23,0.71,0.0043,0.15,15.0
2021-01-05,14063.84260718351,12550,2021-02-25,51,1631.0,0.9868,0.15,15.0
2021-01-05,14063.84260718351,12600,2021-02-25,51,1582.28,0.9842,0.15,15.0
2021-01-05,14063.84260718351,12650,2021-02-25,51,1533.71,0.9812,0.15,15.0
2021-01-05,14063.84260718351,12700,2021-02-25,51,1485.32,0.9777,0.15,15.0
2021-01-05,14063.84260718351,12750,2021-02-25,51,1437.14,0.9738,0.15,15.0
2021-01-05,14063.84260718351,12800,2021-02-25,51,1389.19,0.9692,0.15,15.0
2021-01-05,14063.84260718351,12850,2021-02-25,51,1341.51,0.9641,0.15,15.0
2021-01-05,14063.84260718351,12900,2021-02-25,51,1294.13,0.9582,0.15,15.0
2021-01-05,14063.84260718351,12950,2021-02-25,51,1247.09,0.9517,0.15,15.0
2021-01-05,14063.84260718351,13000,2021-02-25,51,1200.42,0.9444,0.15,15.0
2021-01-05,14063.84260718351,13050,2021-02-25,51,1154.17,0.9363,0.15,15.0
2021-01-05,14063.84260718351,13100,2021-02-25,51,1108.37,0.9273,0.15,15.0
2021-01-05,14063.84260718351,13150,2021-02-25,51,1063.09,0.9175,0.15,15.0
2021-01-05,14063.84260718351,13200,2021-02-25,51,1018.35,0.9067,0.15,15.0
